,ASIANPAINT.NS,BAJAJ-AUTO.NS,HCLTECH.NS,INFY.NS,TCS.NS,TITAN.NS
2022-06-26,3617.0717326414824,3265.0213530393626,1293.3176500998802,2008.3595292187372,3812.7363410032403,2524.4333008122976
2022-06-27,3623.5931831947955,3275.815622865275,1293.142833905645,2011.9872812571625,3812.7061840623746,2534.005573893265
2022-06-28,3622.4492453704524,3277.0396680896797,1295.5803386088462,2012.1478731710667,3811.0074148956614,2540.7320424681216
2022-06-29,3616.805391220052,3285.8227625875393,1287.3253108293188,2020.6862736465616,3829.6219135779656,2534.8847929089707
2022-06-30,3602.1917004089023,3298.693649709203,1289.2604896038238,2016.2388988972816,3832.7127350597316,2541.3456855615614
2022-07-01,3623.5641102183886,3291.612381142137,1286.7410941054611,2021.303543599563,3839.7589841176573,2535.128873460451
2022-07-02,3620.3423010195957,3294.078419232331,1285.9756021708145,2019.9021379956182,3837.027342608333,2539.163582833339
2022-07-03,3634.1597754064896,3291.0984324453975,1284.4083156187112,2015.115230881885,3833.701287521622,2535.597174810095
2022-07-04,3636.609765729626,3282.976785153579,1283.8617333658917,2010.548019908286,3830.3734564631472,2535.656729944482
2022-07-05,3653.171846722563,3261.9586285462196,1285.7651271455566,2007.6074658389127,3824.712152090701,2535.3343118489433
2022-07-06,3650.2171211043487,3264.5129449071,1281.921542637859,2011.206887422015,3824.614793935919,2542.918237644363
2022-07-07,3661.970171785273,3270.7383018508103,1284.6258334876925,2017.7566386631327,3844.701620432209,2547.220342760572
2022-07-08,3664.0506450409935,3251.428832614665,1287.9268932475172,2019.6609076276113,3839.3493177669784,2548.9197846809598
2022-07-09,3664.371653030151,3265.692148662568,1288.862117741402,2026.437873067216,3841.0072530088228,2541.0998985373662
2022-07-10,3657.2013266636727,3281.137977089557,1280.2206340474584,2030.2794403098899,3841.133309679837,2538.868662476551
2022-07-11,3651.9070212497004,3279.728094498122,1283.0876686690658,2033.8752518252707,3837.8672930098155,2546.1969850868077
2022-07-12,3651.035892766551,3267.316838466703,1283.614471021092,2033.55433908414,3838.9738670628967,2543.8155255329684
2022-07-13,3649.6035846049626,3273.658646125246,1290.3979897220427,2036.7231115963095,3833.1201699356266,2524.9008914253195
2022-07-14,3657.798516352982,3274.7803497043906,1297.5123819771095,2031.59715922965,3845.1999989472374,2530.7924711190944
2022-07-15,3676.0731023250423,3270.822219934359,1296.832650469716,2026.4551387483411,3845.1631626698118,2531.96134975557
2022-07-16,3659.858295837513,3277.6113272423377,1306.5307882550721,2026.6773942460227,3842.1490604991172,2530.679182344406
2022-07-17,3651.6846719270775,3273.134811825464,1310.164138833864,2022.7753070774754,3830.9968714427423,2532.666111954911
2022-07-18,3660.023377845614,3265.429303947236,1312.461973702439,2024.1436621719536,3823.6610010025047,2531.9297932917734
2022-07-19,3678.169581977037,3259.3247528899556,1313.3451317917275,2016.665867446681,3824.8823496915306,2529.423883284767
2022-07-20,3679.950840430971,3248.049779561545,1313.9933380098971,2018.662858681008,3830.2136234360573,2528.977438548637
2022-07-21,3687.3184819803355,3249.159268706353,1314.3962241075426,2018.825582813532,3825.7122953794205,2547.1979877310014
2022-07-22,3689.9679806230392,3249.8650517955757,1311.2612214512244,2012.5160188191571,3823.8270502265887,2545.61864930687
